,No.,SAMPLE_ID,식품명,1회제공량(g),에너지(Kcal),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(mg)
0,1,D018620-ZZ-AVG,채소 초밥,280,393.26,7.59,1.37,87.64,0,144.48
1,2,D018186-ZZ-AVG,검정콩밥,200,330.61,9.06,2.23,68.59,0,6.87
2,3,D018187-ZZ-AVG,계란볶음밥,260,584.71,17.22,29.32,62.99,0.44,827.6
3,4,D018188-ZZ-AVG,고추김밥,290,490.73,14.14,12.78,79.8,0.27,948.04
4,5,D018189-ZZ-AVG,기장밥,200,331.91,6.87,1.14,73.53,0,2.79
5,6,D018190-ZZ-AVG,김밥,230,322.56,11.14,10.47,45.95,0,705.16
6,7,D018191-ZZ-AVG,김치김밥,270,351.43,11.61,10.88,51.76,0.79,942.82
7,8,D018192-ZZ-AVG,김치볶음밥,330,550.64,17.56,30.3,51.93,45.85,1549.8
8,9,D018193-ZZ-AVG,낙지덮밥,350,525.24,20.58,11.69,84.42,7.55,743.31
9,10,D018194-ZZ-AVG,날치알김밥,260,461.27,15.86,11.08,74.52,3.71,777.2
10,11,D018195-ZZ-AVG,닭고기덮밥,410,510.58,46.75,8.94,60.77,4.39,626.21
11,12,D018196-ZZ-AVG,돈까스김밥,320,646.18,18.45,18.6,101.24,4.24,769.81
12,13,D018197-ZZ-AVG,돌솥비빔밥,380,558.1,20.5,11.22,93.77,4.73,1281.83
13,14,D018198-ZZ-AVG,돼지머리국밥,900,1233.32,60.34,46.47,143.42,1.46,1624.51
14,15,D018199-ZZ-AVG,모듬회덮밥,410,593.54,37.32,17.01,72.8,12.57,634.31
15,16,D018200-ZZ-AVG,무밥,200,266.19,7.33,1.28,56.34,0,554.22
16,17,D018201-ZZ-AVG,보리밥,200,321.63,5.8,0.48,73.54,5.14,7.85
17,18,D018202-ZZ-AVG,볶음밥,350,640.48,19.47,9.67,118.88,0,743.58
18,19,D018203-ZZ-AVG,불고기덮밥,400,728.18,26.39,21.25,107.84,0.28,1011.43
19,20,D018204-ZZ-AVG,비빔밥,450,637.54,30.89,19.44,84.76,0.22,1041.85
20,21,D018205-ZZ-AVG,새우볶음밥,370,635.75,23.33,22.7,84.54,2.63,538.64
21,22,D018206-ZZ-AVG,생선모듬초밥,380,607.45,36.71,6.06,101.52,5.32,540.96
22,23,D018207-ZZ-AVG,소머리국밥,1000,239.21,15.83,7.53,27.04,0,1392.24
23,24,D018208-ZZ-AVG,쇠고기김밥,250,447.51,16.16,13.9,64.44,0.07,666.69
24,25,D018209-ZZ-AVG,쇠고기볶음밥,260,456.99,19.74,16.86,56.58,0.22,560.18
25,26,D018210-ZZ-AVG,쇠고기주먹밥,200,355.16,9.52,4.36,69.45,0.45,713.2
26,27,D018211-ZZ-AVG,수수밥,200,321.89,6.31,1.83,70.04,0.15,2.55
27,28,D018212-ZZ-AVG,순대국밥,900,673.09,28.56,20.56,93.46,1.51,1137.58
28,29,D018213-ZZ-AVG,알밥,330,422.13,15.61,16.86,51.99,7.6,1418.08
29,30,D018214-ZZ-AVG,영양돌솥밥,350,643.16,12.02,10.03,126.22,2.22,21.94
30,31,D018216-ZZ-AVG,오징어덮밥,360,484.59,25.85,7.24,79.0,2.37,582.23
