id,NO,SAMPLE_ID,code,DB,Foodname1, One_timesupply,energy,Protein,Fat,Carbohydrate,Totalsugars,Foodname2
0,1,D000006-94-AVG,D000006,?뚯떇,轅⑸텋怨좉린,500,369,34,9,40,17,Pheasant Bulgogi
1,2,D000007-ZZ-AVG,D000007,?뚯떇,??컝鍮?400.0,596,46,26,45,21,0,Spicy grilled chicken
2,3,D000008-66-AVG,D000008,?뚯떇,??컝鍮?300.0,558,46,32,23,9,0,Spicy grilled chicken
3,4,D000009-ZZ-AVG,D000009,?뚯떇,??섕移?70.0,177,12,9,13,3,0,Chicken kebabs
4,5,D000010-ZZ-AVG,D000010,?뚯떇,?붾뜒援ъ씠,100,184,3,5,31,12,Grilled deodeok
5,6,D000011-ZZ-AVG,D000011,?뚯떇,?꾨?援ъ씠,250,397,61,17,2,0,Grilled sea bream
6,7,D000012-95-AVG,D000012,?뚯떇,?쇱?媛덈퉬,100,240,20,14,8,5,Pork ribs
7,8,D000015-ZZ-AVG,D000015,?뚯떇,蹂묒뼱援ъ씠,250,488,55,31,0,0,Grilled ectopus
8,9,D000016-96-AVG,D000016,?뚯떇,遺덇퀬湲?150.0,395,34,25,8,8,0,Bulgogi
9,10,D000017-05-AVG,D000017,?뚯떇,遺뺤옣?댁냼湲덇뎄??100.0,297,26,16,12,0,0,Grilled eel salt
10,11,D000020-ZZ-AVG,D000020,?뚯떇,?뚯뼇?먭컝鍮꾧뎄??300.0,989,60,72,26,14,0,Grilled beef marinated ribs
11,12,D000021-97-AVG,D000021,?뚯떇,?묐뀗?뺢컝鍮?150.0,481,27,35,14,7,0,Marinated king ribs
12,13,D000022-ZZ-AVG,D000022,?뚯떇,?묐뀗?μ뼱援ъ씠,150,433,31,31,9,4,Grilled eel with sauce
13,14,D000023-ZZ-AVG,D000023,?뚯떇,?꾩뿰?섍뎄??250.0,494,54,29,4,0,0,Grilled Lim Yeonsu
14,15,D000024-10-AVG,D000024,?뚯떇,吏싲텋援ъ씠怨곗옣??200.0,326,43,16,2,1,0,Straw-infested with straw
15,16,D000025-ZZ-AVG,D000025,?뚯떇,?꾨쾭洹몄뒪?뚯씠??200.0,458,27,30,21,5,0,Hamburger steak
16,17,D000026-ZZ-AVG,D000026,?뚯떇,?⑺깭援ъ씠,200,438,48,15,27,14,Grilled Dried Pollack
17,18,D000027-ZZ-AVG,D000027,?뚯떇,?덉젣?ㅻ━,250,797,43,64,12,0,Smoked duck
18,19,D000028-68-AVG,D000028,?뚯떇,寃뚭뎅吏,1100,415,45,12,32,11,crab soup
19,20,D000029-98-AVG,D000029,?뚯떇,怨곗튂援?1000.0,419,54,12,24,3,0,Beef Bone Soup
20,21,D000030-ZZ-AVG,D000030,?뚯떇,援닿뎅諛?650.0,683,42,18,88,0,0,Oyster rice soup
21,22,D000032-ZZ-AVG,D000032,?뚯떇,源移섍뎅,450,89,5,3,11,3,Kimchi soup
22,23,D000036-ZZ-AVG,D000036,?뚯떇,?〓쭔?ｊ뎅,700,625,20,11,111,0,Rice cake dumpling soup
23,24,D000037-ZZ-AVG,D000037,?뚯떇,留뚮몿援?700.0,434,21,17,48,3,0,dumpling soup
24,25,D000038-ZZ-AVG,D000038,?뚯떇,留묒?媛먯옄援?700.0,221,8,6,35,5,0,a clear potato mark
25,26,D000039-99-AVG,D000039,?뚯떇,留ㅼ깮?닿뎅,500,119,10,3,13,0,Seaweed soup
26,27,D000040-ZZ-AVG,D000040,?뚯떇,臾대맂?κ뎅,450,104,6,2,15,6,Radish soybean paste soup
27,28,D000041-ZZ-AVG,D000041,?뚯떇,誘몄냼?쒖옣援?150.0,38,3,2,3,1,0,Miso Soy Bean Paste Soup
28,29,D000044-ZZ-AVG,D000044,?뚯떇,諛붿??쎌“媛쒓뎅,550,157,22,3,10,1,clam country
